sample_size,execution_time,memory_usage,success_rate,nodes_per_state
100,0.030025959014892578,0.00165557861328125,33.0,22.439999999999998
200,0.05553245544433594,0.00215911865234375,32.0,20.64
500,0.14155983924865723,0.0034275054931640625,34.0,20.64
1000,0.30020713806152344,0.00382232666015625,39.0,21.72
2000,0.5934000015258789,0.003955841064453125,28.0,21.119999999999997
