sample_size,execution_time,memory_usage,success_rate,nodes_per_state
100,0.03384709358215332,0.003223419189453125,24.0,24.84
200,0.06235027313232422,0.002193450927734375,30.0,22.8
500,0.15238523483276367,0.0035686492919921875,30.0,21.48
1000,0.35405874252319336,0.0037689208984375,19.0,24.0
2000,0.7391786575317383,0.0039424896240234375,30.0,24.84
