sample_size,execution_time,memory_usage,success_rate,nodes_per_state
100,13.889667034149172,0.21480369567871094,100.0,18303.97
200,30.361628055572513,0.1984844207763672,100.0,21608.8
500,73.5308587551117,0.24058818817138672,100.0,21076.25
1000,140.5679702758789,0.21673870086669922,100.0,20277.15
2000,257.32935905456543,0.17979812622070312,100.0,18687.59
