sample_size,time_seconds,memory_mb
100,0.07258296012878418,0.03125
200,0.16879987716674805,0.029876708984375
500,0.33951401710510254,0.028728485107421875
1000,0.7099819183349609,0.026666641235351562
2000,1.482539176940918,0.026361465454101562
